# qrels format: <scenario_id> 0 <clause_id> <rel>
# rel ∈ {2=high, 1=rel, 0=nonrel}
ADSTAND-SOCIAL-TESTIMONIAL-001 0 104 2
ADSTAND-SOCIAL-TESTIMONIAL-001 0 101 2
ADV-ADSTAND-SOCIAL-TESTIMONIAL-001-AMBIGUOUS-001 0 101 2
ADV-ADSTAND-SOCIAL-TESTIMONIAL-001-AMBIGUOUS-001 0 102 2
ADV-CASL-EMAIL-CEM-001-AMBIGUOUS-001 0 103 2
ADV-CASL-EMAIL-CEM-001-AMBIGUOUS-001 0 104 2
ADV-CASL-EMAIL-CEM-001-INCOMPLETE-001 0 102 2
ADV-CASL-EMAIL-TRANSACTIONAL-002-AMBIGUOUS-001 0 104 2
ADV-CASL-EMAIL-TRANSACTIONAL-002-AMBIGUOUS-001 0 101 2
ADV-CASL-EMAIL-UNSUB-003-AMBIGUOUS-001 0 101 2
ADV-CASL-EMAIL-UNSUB-003-AMBIGUOUS-001 0 102 2
ADV-CASL-EMAIL-UNSUB-003-INCOMPLETE-001 0 102 2
ADV-CRTC-SMS-DNCL-001-AMBIGUOUS-001 0 104 2
ADV-CRTC-SMS-DNCL-001-AMBIGUOUS-001 0 101 2
ADV-PIPEDA-WEB-PI-007-AMBIGUOUS-001 0 103 2
ADV-PIPEDA-WEB-PI-007-AMBIGUOUS-001 0 104 2
ADV-QL25-LANDING-CONSENT-001-AMBIGUOUS-001 0 102 2
ADV-QL25-LANDING-CONSENT-001-AMBIGUOUS-001 0 103 2
CASL-EMAIL-CEM-001 0 102 2
CASL-EMAIL-CEM-001 0 103 2
CASL-EMAIL-TRANSACTIONAL-002 0 101 2
CASL-EMAIL-TRANSACTIONAL-002 0 102 2
CASL-EMAIL-UNSUB-003 0 103 2
CASL-EMAIL-UNSUB-003 0 104 2
CRTC-SMS-DNCL-001 0 101 2
CRTC-SMS-DNCL-001 0 102 2
PIPEDA-WEB-PI-007 0 101 2
PIPEDA-WEB-PI-007 0 102 2
QL25-LANDING-CONSENT-001 0 102 2
QL25-LANDING-CONSENT-001 0 103 2
